accession	marker	voucher	species	locality	notes	
KP871636	COI	CASIZ 191601	Bornella anguilla	unknown	confirmed in paper main text	
HM162705	COI	CASIZ 175743	Bornella hermanni	Malaysia: Tokong Kamundi	confirmed in paper main text	
HM162704	COI	CASIZ 175406	Bornella johnsonorum	Marshall Islands: Kwajalein Atoll 		see docs/01_data.md for how to complete this table
HM162703	COI	CASIZ 167989	Bornella stellifer	USA: Hawaii, Lanai		
HM162706	COI	CASIZ 176832	Bornella valdae	South Africa: Durban		
GQ292060	COI	unknown	Curnon granulosa	Antarctica: Ross sea		
KF643932	COI	10BCMOL-00344	Dirona albolineata	unknown		
DQ026831	COI	unknown	Dirona picta	unknown		
HM162745	COI	CASIZ 176348	Leminda millecra	S.A.: Western Cape Province		
KP226855	COI	CAS:177735	Marionia arborescens	Philippines		
HM162721	COI	CASIZ 176812	Marionia blainvillea	Portugal: Azores		
KP226856	COI	CAS:110364	Marionia distincta	unknown		
HM162724	COI	CASIZ 173308	Marionia elongoviridis	Philippines: Panglao		
HM162723	COI	CASIZ 173454	Marionia levis	Madagascar: Kalakajoro		
HM162727	COI	CASIZ 177513	Marionia sp. 5	Philippines: Batangas		
MN651126	COI	CRBA-92758	Tritonia challengeriana	Weddell Sea		
MN651127	COI	CRBA-92761	Tritonia challengeriana	Weddell Sea		
MN651128	COI	CRBA-92762	Tritonia challengeriana	Weddell Sea		
MN651129	COI	CRBA-92763	Tritonia challengeriana	Weddell Sea		
MN651130	COI	CRBA-92764	Tritonia challengeriana	Weddell Sea		
MN651131	COI	CRBA-92765	Tritonia challengeriana	Weddell Sea		
MN651132	COI	CRBA-92767	Tritonia challengeriana	Weddell Sea		
MN651133	COI	CRBA-92768	Tritonia challengeriana	Weddell Sea		
MN651134	COI	CRBA-92771	Tritonia dantarti	Bouvet Island		
MN651135	COI	CRBA-92783	Tritonia dantarti	Bouvet Island		
MN651136	COI	CRBA-92784	Tritonia dantarti	Bouvet Island		
HM162718	COI	CASIZ 171177	Tritonia antarctica	Bouvet Island		
GU227111	COI	unknown	Tritoniella belli	McMurdo Sound, Ross Sea		
GQ292056	COI	unknown	Tritoniella belli	Ross Sea		
GQ292052	COI	unknown	Tritonia challengeriana	Ross Sea		
KP153291	COI	CASIZ 186478	Tritonia festiva	unknown		
HM162719	COI	CASIZ 174491	Tritonia festiva	Oregon, Coos County		
KP153293	COI	CASIZ 181090	Tritonia hamnerorum	unknown		
KR084797	COI	MT09685	Tritonia hombergii	North Sea		
HM162716	COI	CASIZ 176219	Tritonia nilsodhneri	Cape Province, False Bay		
KP871653	COI	CASIZ 176222	Tritonia nilsodhneri	unknown		
KP153295	COI	CASIZ 176218B	Tritonia nilsodhneri	South Africa		
KP940454	COI	CASIZ 176220	Tritonia nilsodhneri	unknown		
KP153294	COI	CASIZ 176218A	Tritonia nilsodhneri	unknown		
HM162717	COI	CASIZ 175718	Tritonia pickensi	Costa Rica: Islas Catalinas		
KX788134	COI	ZMMU Op-572	Tritonia plebeia	Norway		
KR084895	COI	MT09662	Tritonia plebeia	North Sea		
KR084842	COI	MT09661	Tritonia plebeia	North Sea		
KR084634	COI	MT09675	Tritonia plebeia	North Sea		
HM162731	COI	CASIZ 177523	Tritonia sp. 3	Luzon, Twin Rocks		
HM162732	COI	CASIZ 177668	Tritonia sp. 4	Philippines: Batangas, Anilao		
KP153303	COI	CASIZ 173748	Tritonia sp. 5	unknown		
KP153301	COI	CASIZ 190807	Tritonia sp. 6	unknown		
KP153300	COI	CASIZ 191401	Tritonia sp. 7	unknown		
HM162720	COI	CASIZ 179495	Tritonia sp. F	 Batangas, Luzon, Tingloy, Bethlem		
HM162730	COI	CASIZ 176233	Tritonia sp. G	Cape Province, False Bay		
LT596541	COI	BAU2696	Tritonia striata	Italy, Grosseto, Le formiche Is		
LT596540	COI	BAU2695	Tritonia striata	Italy, Grosseto, Le formiche Is		
